date,sku_name,product_id,merchant_code,merchant_badge,product_type,merchant_city,cod,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
3/23/2020,XIAOMI REDMI NOTE 8 PRO 6/64GB RAM 6GB INTERNAL 64GB GARANSI RESMI - Hijau,F1509,1451,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Pusat,FALSE,2940000,10,0,0,0,99,307,566
3/25/2020,xiaomi note 8 pro 6/128 garansi resmi TAM - Hijau,E1584,1056,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Pusat,FALSE,3350000,6,0,0,12,100,8,12
3/11/2020,XIAOMI REDMI NOTE 8 PRO 6/128 GARANSI RESMI - Hijau,F1517,2408,PM,Xiaomi Redmi Note 8 Pro,Kab. Trenggalek,FALSE,3500000,4,0,0,0,100,24,78
3/24/2020,Redmi Note 8 pro 6/64,F1470,917,PM,Xiaomi Redmi Note 8 Pro,Kota Bandung,FALSE,3049000,4,0,0,26,100,21,35
3/31/2020,Xiaomi Note 8 Pro 6/128 GARANSI RESMI - Abu-abu,G214,1377,PM,Xiaomi Redmi Note 8 Pro,Kota Surabaya,FALSE,3322000,2,0,0,22,94,11,25
3/27/2020,Xiaomi Redmi Note 8 Pro,F1421,2094,PM,Xiaomi Redmi Note 8 Pro,Kota Malang,FALSE,3500000,3,7000000,2,11,97,71,122
3/18/2020,Redmi Note 8 Pro Ram 6/64 Garansi Resmi Xiaomi Indonesia/TAM - Biru,G215,1221,PM,Xiaomi Redmi Note 8 Pro,Kota Tangerang Selatan,FALSE,2895000,8,0,0,0,98,79,273
3/24/2020,Xiaomi Redmi Note 8 Pro Ram 6GB / 128GB Original New,E1590,568,PM,Xiaomi Redmi Note 8 Pro,Kota Batam,FALSE,3340000,9991,0,0,13,95,81,194
3/24/2020,xiomi redmi note 8 pro 6/128 - Hijau,F1462,2265,PM,Xiaomi Redmi Note 8 Pro,Kota Semarang,FALSE,3850000,8,0,0,19,100,10,142
3/26/2020,HP XIAOMI NOTE 8 PRO 6/128 garansi resmi,F1494,1378,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Pusat,FALSE,3330000,999991,0,0,12,100,6,14
